Date,AAPL,IBM
2012-10-01,49974.811266,49872.076056
2012-10-02,50120.32605,49722.792768
2012-10-03,50888.830619,49881.5526
2012-10-04,50536.410559,49853.119272
2012-10-05,49459.443521,49900.509648
2012-10-08,48366.560515,49718.056344
